Category,Difficulty,Content,Points,Options,CorrectOption
Security,Intermediate,What are the three main types of security in Odoo?,15.0,ACLs Record Rules and Field Level | Only ACLs | Only Record Rules | Only Menus,ACLs Record Rules and Field Level
Security,Beginner,What does ACL stand for in Odoo security?,10.0,Access Control Lists | Active Control Logic | Access Create Links | Automatic Control Lists,Access Control Lists
Security,Intermediate,What is the purpose of Record Rules in Odoo?,15.0,To create records | To filter which records a user can see or modify | To delete records | To copy records,To filter which records a user can see or modify
Security,Advanced,If a root menu does not appear what is the most likely cause?,20.0,XML syntax error | Missing or incorrect ir.model.access.csv file | Database connection issue | Browser cache,Missing or incorrect ir.model.access.csv file
Inheritance,Intermediate,What are the three main types of inheritance in Odoo?,15.0,Classical Delegation and Prototypal | Only Classical | Single and Multiple | Abstract and Concrete,Classical Delegation and Prototypal
Inheritance,Intermediate,What is the difference between _inherit and _inherits?,15.0,No difference | _inherit modifies in place _inherits creates implicit One2one | _inherits is faster | _inherit creates new table,_inherit modifies in place _inherits creates implicit One2one
Inheritance,Advanced,What is a Mixin in Odoo?,20.0,A regular Model | An AbstractModel providing common features to regular models | A TransientModel | A database table,An AbstractModel providing common features to regular models
Inheritance,Intermediate,How do you inherit from a Mixin?,15.0,_name = 'mixin' | _inherit = ['my.mixin'] | _inherits = 'mixin' | extends 'mixin',_inherit = ['my.mixin']
ORM Methods,Beginner,Which ORM method is used to create new records?,10.0,insert() | create() | add() | new(),create()
ORM Methods,Beginner,Which ORM method searches for records matching criteria?,10.0,find() | search() | query() | get(),search()
ORM Methods,Intermediate,What does search_count() return?,15.0,A RecordSet | The count of records matching the domain | A list of IDs | A dictionary,The count of records matching the domain
ORM Methods,Intermediate,What is the purpose of browse() method?,15.0,To search records | To fetch records by their ID | To delete records | To count records,To fetch records by their ID
ORM Methods,Advanced,Why is search_count() faster than len(search())?,20.0,It's not faster | It executes SELECT COUNT(*) instead of fetching all records | It uses cache | It runs in parallel,It executes SELECT COUNT(*) instead of fetching all records
ORM Methods,Beginner,Which method is used to delete records?,10.0,remove() | delete() | unlink() | destroy(),unlink()
ORM Methods,Intermediate,What does the copy() method do?,15.0,Copies to clipboard | Duplicates a record | Backs up database | Exports data,Duplicates a record
Active Field,Intermediate,What is the purpose of the active field in Odoo?,15.0,To activate users | To support archiving instead of deleting | To speed up queries | To validate data,To support archiving instead of deleting
Active Field,Advanced,How do you make the Delete button perform Archive instead?,20.0,Change the button XML | Override unlink() to write active=False | Use @api.constrains | Add a wizard,Override unlink() to write active=False
Active Field,Advanced,How do you search for archived records?,20.0,Use archived=True | Use active_test=False in context | Use deleted=True | Use hidden=False,Use active_test=False in context
TransientModel,Intermediate,What is a TransientModel used for?,15.0,Permanent data storage | Temporary data for wizards | Database backups | User authentication,Temporary data for wizards
TransientModel,Intermediate,How does TransientModel differ from models.Model?,15.0,No difference | TransientModel stores data temporarily and gets cleaned up | TransientModel is faster | TransientModel doesn't use database,TransientModel stores data temporarily and gets cleaned up
XML Views,Beginner,What is the difference between <record> and <template> in XML?,10.0,No difference | <record> creates data records <template> defines QWeb HTML | <template> is faster | <record> is deprecated,<record> creates data records <template> defines QWeb HTML
XML Views,Intermediate,What does position='inside' do in xpath?,15.0,Deletes the element | Places code inside the targeted element | Places code after the element | Modifies attributes,Places code inside the targeted element
XML Views,Intermediate,What does position='attributes' do in xpath?,15.0,Adds new elements | Modifies properties of the targeted element | Deletes the element | Copies the element,Modifies properties of the targeted element
XML Views,Advanced,Which xpath position replaces the targeted element?,20.0,position='inside' | position='after' | position='replace' | position='modify',position='replace'
Reports,Intermediate,What is QWeb used for in Odoo?,15.0,Database queries | Designing PDF Reports and Website pages | User authentication | Data validation,Designing PDF Reports and Website pages
Reports,Intermediate,What type should be set for a PDF report action?,15.0,type='report' | type='qweb-pdf' | type='pdf' | type='document',type='qweb-pdf'
Constraints,Intermediate,What is the difference between @api.constrains and _sql_constraints?,15.0,No difference | _sql_constraints is at database level @api.constrains at Python level | @api.constrains is faster | _sql_constraints doesn't work,_sql_constraints is at database level @api.constrains at Python level
Constraints,Advanced,When should you use _sql_constraints over @api.constrains?,20.0,Never | For simple critical conditions like uniqueness | For complex logic | For computed fields,For simple critical conditions like uniqueness
Performance,Advanced,Why should you use search_read() instead of search() followed by read()?,20.0,It's the same | search_read() performs search and read in one query avoiding N+1 problem | search_read() is slower | search_read() uses more memory,search_read() performs search and read in one query avoiding N+1 problem
Performance,Advanced,What is prefetching in Odoo ORM?,20.0,Loading data before needed | Smart mechanism that fetches related fields in single query to reduce database calls | Caching in browser | Preloading modules,Smart mechanism that fetches related fields in single query to reduce database calls
Performance,Intermediate,What should you avoid doing inside a loop for performance?,15.0,Printing | Calling write() on records | Reading fields | Using if statements,Calling write() on records
Performance,Advanced,What does flush_model() do?,20.0,Clears cache | Pushes memory changes to database | Deletes records | Reloads module,Pushes memory changes to database
Performance,Advanced,What does invalidate_model() do?,20.0,Deletes model | Clears memory cache after raw SQL | Validates data | Creates backup,Clears memory cache after raw SQL
Controllers,Intermediate,How do you create an API endpoint in Odoo?,15.0,Using @api.route | Using @http.route with http.Controller class | Using @endpoint | Using @web.route,Using @http.route with http.Controller class
Controllers,Intermediate,What does type='json' mean in @http.route?,15.0,Only accepts JSON files | Converts Request and Response to JSON | Stores data as JSON | Validates JSON schema,Converts Request and Response to JSON
Controllers,Advanced,What are the possible values for auth parameter in @http.route?,20.0,Only 'user' | 'user' 'public' or 'none' | Only 'public' | 'admin' or 'user','user' 'public' or 'none'
Hooks,Advanced,What is the difference between pre_init_hook and post_init_hook?,20.0,No difference | pre_init_hook runs before table creation post_init_hook runs after | post_init_hook is faster | pre_init_hook is deprecated,pre_init_hook runs before table creation post_init_hook runs after
Hooks,Advanced,When would you use post_init_hook?,20.0,To delete data | To fill new fields with correct values after module install | To create users | To backup database,To fill new fields with correct values after module install
Manifest,Intermediate,What is the purpose of 'depends' in __manifest__.py?,15.0,To list dependencies | To list modules that must be installed before yours | To list files | To list users,To list modules that must be installed before yours
Manifest,Intermediate,What does 'auto_install': True do in manifest?,15.0,Installs automatically when server starts | Installs automatically when all dependencies are installed | Never installs | Uninstalls automatically,Installs automatically when all dependencies are installed
Manifest,Beginner,What is the purpose of 'data' key in __manifest__.py?,10.0,To store data | To list XML and CSV files to load | To backup data | To export data,To list XML and CSV files to load
Workers,Advanced,What is the purpose of Workers in Odoo?,20.0,To create users | To handle multiple requests simultaneously using multiprocessing | To generate reports | To backup data,To handle multiple requests simultaneously using multiprocessing
Workers,Advanced,What is a Cron Worker?,20.0,A regular worker | A worker dedicated only to running Scheduled Actions | A backup worker | A testing worker,A worker dedicated only to running Scheduled Actions
Fields,Intermediate,What is fields.Reference used for?,15.0,To reference files | A dynamic Many2one field that can point to any model | To create links | To validate references,A dynamic Many2one field that can point to any model
Fields,Advanced,Where is fields.Reference commonly used in Odoo?,20.0,In products | In ir.attachment for linking to any model | In users | In companies,In ir.attachment for linking to any model
Transactions,Advanced,Why is calling self.env.cr.commit() in the middle of a method dangerous?,20.0,It's not dangerous | It breaks atomicity and can leave database in inconsistent state | It's too slow | It causes memory leak,It breaks atomicity and can leave database in inconsistent state
Transactions,Advanced,What is a savepoint in database transactions?,20.0,A backup | A sub-transaction that can be rolled back independently | A checkpoint file | A cache point,A sub-transaction that can be rolled back independently
Python Advanced,Advanced,What is the difference between yield and returning a list?,20.0,No difference | yield creates generator that computes on-demand saving memory | yield is slower | yield doesn't work in Odoo,yield creates generator that computes on-demand saving memory
Python Advanced,Advanced,What is the Descriptor Protocol in Python?,20.0,A design pattern | Protocol defining __get__ __set__ __delete__ methods | A security feature | A documentation standard,Protocol defining __get__ __set__ __delete__ methods
Python Advanced,Expert,How does Odoo use the Descriptor Protocol?,25.0,For security | Fields are descriptors managing read/write to database | For inheritance | For translations,Fields are descriptors managing read/write to database
Python Advanced,Advanced,What is a Metaclass in Python?,20.0,A base class | A class that creates classes | An abstract class | A final class,A class that creates classes
Python Advanced,Expert,How does Odoo use Metaclasses?,25.0,For models | MetaModel transforms simple classes into complete Odoo Models with ORM | For views | For security,MetaModel transforms simple classes into complete Odoo Models with ORM
Python Advanced,Advanced,Why must you pass *args and **kwargs to super() in overridden methods?,20.0,For documentation | To pass all parameters to next method in inheritance chain | For performance | To avoid errors in IDE,To pass all parameters to next method in inheritance chain
Python Advanced,Advanced,What is a Context Manager in Python?,20.0,A function | An object defining __enter__ and __exit__ for setup/cleanup | A decorator | A class method,An object defining __enter__ and __exit__ for setup/cleanup
Python Advanced,Advanced,What is the GIL in Python?,20.0,A security feature | Global Interpreter Lock ensuring only one thread executes at a time | A data structure | A design pattern,Global Interpreter Lock ensuring only one thread executes at a time
Python Advanced,Expert,How does Odoo avoid GIL limitations?,25.0,By using async | By using multiprocessing with Workers not threads | By using C extensions | Odoo doesn't avoid it,By using multiprocessing with Workers not threads
Race Conditions,Expert,What is a Race Condition in Odoo?,25.0,A performance issue | When two requests modify same data simultaneously causing corruption | A network error | A browser issue,When two requests modify same data simultaneously causing corruption
Race Conditions,Expert,How do you prevent Race Conditions in Odoo?,25.0,Use faster server | Use FOR UPDATE lock in SQL | Use more memory | Restart server,Use FOR UPDATE lock in SQL
Optimization,Advanced,How do you optimize a slow computed field that depends on One2many?,20.0,Remove store=True | Depend on specific fields inside One2many not the relation itself | Use @api.onchange | Remove @api.depends,Depend on specific fields inside One2many not the relation itself
Method Chaining,Advanced,Why does search().write() work but create().write() doesn't work as expected?,20.0,Create is broken | search() returns RecordSet ready for write but you can't chain write during create | Write is broken | They both work the same,search() returns RecordSet ready for write but you can't chain write during create
Caching,Advanced,What is self.env.cache in Odoo?,20.0,Database cache | Memory cache storing values during current request/transaction | Browser cache | File cache,Memory cache storing values during current request/transaction
Caching,Advanced,What is the difference between store=True and env.cache?,20.0,No difference | store=True is permanent database storage env.cache is temporary memory cache | env.cache is faster | store=True uses more memory,store=True is permanent database storage env.cache is temporary memory cache
Records,Advanced,What is a Zombie Record in Odoo?,20.0,A deleted record | State when database cursor enters failed state after SQL error | An archived record | A draft record,State when database cursor enters failed state after SQL error
Records,Advanced,What causes the InFailedSqlTransaction error?,20.0,Network issues | Executing queries after failed transaction without ROLLBACK | Slow queries | Memory issues,Executing queries after failed transaction without ROLLBACK
Database,Advanced,What is a B-Tree index used for?,20.0,Full-text search | Operations like equality greater than less than on fields | JSON fields only | Archiving,Operations like equality greater than less than on fields
Database,Advanced,What does EXPLAIN ANALYZE do in PostgreSQL?,20.0,Explains errors | Shows query execution plan with actual time and cost | Analyzes tables | Fixes queries,Shows query execution plan with actual time and cost
Database,Expert,What does Seq Scan mean in EXPLAIN output?,25.0,Good performance | Warning that PostgreSQL is scanning entire table needs index | Optimal query | Fast operation,Warning that PostgreSQL is scanning entire table needs index
Database,Advanced,What is Transaction Isolation in PostgreSQL?,20.0,Security feature | Defines how much transactions are isolated from each other | Performance feature | Backup feature,Defines how much transactions are isolated from each other
Database,Advanced,What is Read Committed isolation level?,20.0,Reads all data | Transaction sees changes committed by others even during execution | Transaction is isolated completely | Transaction can't read anything,Transaction sees changes committed by others even during execution
Owl Framework,Intermediate,What is Owl in Odoo?,15.0,A Python framework | Odoo Web Library a component-based UI framework in TypeScript | A database | A testing tool,Odoo Web Library a component-based UI framework in TypeScript
Owl Framework,Intermediate,Why did Odoo create Owl instead of using React?,15.0,React is too expensive | Needed tight QWeb integration and class-based inheritance | React is too slow | React is deprecated,Needed tight QWeb integration and class-based inheritance
Owl Framework,Beginner,What is the setup() method in Owl?,10.0,A configuration file | Entry point of component runs once on initialization | A CSS setup | A database setup,Entry point of component runs once on initialization
Owl Framework,Intermediate,What is useState in Owl?,15.0,A state manager | A hook making objects reactive for automatic UI updates | A variable type | A function,A hook making objects reactive for automatic UI updates
Owl Framework,Intermediate,What is the difference between onWillStart and onMounted?,15.0,No difference | onWillStart runs before render onMounted runs after | onMounted is faster | onWillStart is deprecated,onWillStart runs before render onMounted runs after
Owl Framework,Intermediate,How do you make server calls in Owl?,15.0,Using fetch | Using orm service or rpc service | Using jQuery.ajax | Using XMLHttpRequest,Using orm service or rpc service
Owl Framework,Intermediate,What is the difference between props and state in Owl?,15.0,No difference | state is internal and modifiable props are from parent and read-only | props are faster | state is deprecated,state is internal and modifiable props are from parent and read-only
Owl Framework,Advanced,What is useRef used for in Owl?,20.0,To reference files | To get reference to specific DOM element in component | To reference other components | To reference services,To get reference to specific DOM element in component
Owl Framework,Intermediate,What are Services in Owl?,15.0,Backend services | Global utilities available to all components via useService | Database services | API services,Global utilities available to all components via useService
Owl Framework,Intermediate,How do you separate Backend JS from Website JS?,15.0,Using folders | Using Assets Bundles web.assets_backend and web.assets_frontend | Using different files | Using comments,Using Assets Bundles web.assets_backend and web.assets_frontend
Owl Framework,Intermediate,What does t-model directive do?,15.0,Creates models | Creates two-way data binding between input and state | Validates models | Deletes models,Creates two-way data binding between input and state
Owl Framework,Beginner,How do you enable debug mode for Owl?,10.0,Add ?debug=1 | Add ?debug=assets to URL | Press F12 | Use debug() function,Add ?debug=assets to URL
Owl Advanced,Advanced,What is the purpose of t-key in t-foreach loops?,20.0,For styling | Unique identifier for efficient DOM updates when list changes | For sorting | For filtering,Unique identifier for efficient DOM updates when list changes
Owl Advanced,Advanced,What are Slots in Owl?,20.0,CSS classes | Allow parent to inject content into specific places in child component | Database fields | API endpoints,Allow parent to inject content into specific places in child component
Owl Advanced,Advanced,What is the difference between useState and reactive?,20.0,No difference | useState is component-bound reactive is standalone observable | reactive is faster | useState is deprecated,useState is component-bound reactive is standalone observable
Owl Advanced,Advanced,When should you use t-attf instead of t-att?,20.0,Always | For string interpolation mixing static and dynamic values | For numbers only | For booleans only,For string interpolation mixing static and dynamic values
Owl Advanced,Advanced,What is useEffect hook used for?,20.0,For styling | Runs side-effect function when dependencies change | For validation | For caching,Runs side-effect function when dependencies change
Owl Advanced,Advanced,What is useSubEnv used for?,20.0,For security | Creates child environment for specific component branch | For performance | For styling,Creates child environment for specific component branch
Owl Advanced,Expert,How do you safely render HTML strings in Owl?,25.0,Use t-out directly | Use markup() function to mark string as trusted | Use t-raw | Use innerHTML,Use markup() function to mark string as trusted
Owl Advanced,Advanced,What are Portals in Owl?,20.0,Login pages | Allow component to render in different part of DOM like body | Navigation menus | Modal windows,Allow component to render in different part of DOM like body
Owl Advanced,Advanced,What is a Store in Owl?,20.0,Database | Centralized reactive state management class | Cache | Cookie storage,Centralized reactive state management class
Owl Advanced,Advanced,How do you handle translations in JS code?,20.0,Using translate() | Using _t() function | Using i18n | Using lang(),Using _t() function
Owl Advanced,Advanced,What does .prevent event modifier do?,20.0,Prevents all events | Calls event.preventDefault() | Prevents bubbling | Prevents rendering,Calls event.preventDefault()
Owl Advanced,Advanced,What does .stop event modifier do?,20.0,Stops component | Calls event.stopPropagation() preventing event bubbling | Stops all events | Stops rendering,Calls event.stopPropagation() preventing event bubbling
Owl Advanced,Expert,What is t-inherit in QWeb Templates?,25.0,CSS inheritance | Modern way to extend XML templates in Owl | Python inheritance | Database inheritance,Modern way to extend XML templates in Owl
Owl Advanced,Advanced,What is onError hook used for?,20.0,To log errors | Acts as Error Boundary catching child component errors | To validate input | To handle network errors,Acts as Error Boundary catching child component errors
Owl Advanced,Advanced,Why use useDebounced for search inputs?,20.0,For styling | Delays execution until user stops typing improving performance | For validation | For caching,Delays execution until user stops typing improving performance
Owl Expert,Expert,What is memo in Owl?,25.0,A memory tool | Higher-order function preventing re-render if props unchanged | A cache | A service,Higher-order function preventing re-render if props unchanged
Owl Expert,Expert,How do you register a custom Global Service?,25.0,Using @service decorator | Using registry.category('services').add() | Using service.register() | Using env.addService(),Using registry.category('services').add()
Owl Expert,Advanced,Why use useHotkeys instead of addEventListener?,20.0,It's faster | Managed hook handling lifecycle and scoping automatically | It's simpler | addEventListener is deprecated,Managed hook handling lifecycle and scoping automatically
Owl Expert,Expert,What is the standard approach to integrate 3rd-party library in Owl?,25.0,Just import it | Load in onWillStart use useRef initialize in onMounted cleanup in onWillUnmount | Import in setup | Add to manifest,Load in onWillStart use useRef initialize in onMounted cleanup in onWillUnmount
Owl Expert,Advanced,What is the difference between fields and views registry?,20.0,No difference | fields for Field Widgets views for entire View Architectures | views is deprecated | fields is faster,fields for Field Widgets views for entire View Architectures
Owl Expert,Expert,Why does Odoo provide browser wrapper instead of using window?,25.0,For security | To facilitate Unit Testing by allowing mocking | For performance | window is deprecated,To facilitate Unit Testing by allowing mocking
Owl Expert,Advanced,When is onWillUpdateProps executed?,20.0,On mount | When parent passes new props before child re-renders | On unmount | Continuously,When parent passes new props before child re-renders
Owl Expert,Advanced,What is the Effect service used for?,20.0,Side effects | Manages visual feedback effects like Rainbow Man animation | Error handling | Performance monitoring,Manages visual feedback effects like Rainbow Man animation
Owl Expert,Advanced,How do you implement Lazy Loading for component?,20.0,Use async | Use LazyComponent wrapper | Use setTimeout | Use dynamic import only,Use LazyComponent wrapper
Owl Expert,Advanced,What does t-props directive do?,20.0,Creates props | Allows dynamic props spreading from object | Validates props | Deletes props,Allows dynamic props spreading from object
Owl Expert,Advanced,How do you detect click outside component?,20.0,Use onClick | Use useExternalListener checking if click target is outside element | Use onBlur | Use mouseout,Use useExternalListener checking if click target is outside element
Owl Expert,Expert,What is the distinction between markup and _t?,25.0,No difference | markup marks HTML as safe _t translates text | _t is for styling | markup is deprecated,markup marks HTML as safe _t translates text
Best Practices,Intermediate,What is the advantage of using mapped() over a for loop?,15.0,No advantage | It's optimized for RecordSets and makes code cleaner | It's slower | It uses more memory,It's optimized for RecordSets and makes code cleaner
Best Practices,Intermediate,What should you use instead of magic tuples like (0 0 vals)?,15.0,Lists | Command namespace | Dictionaries | Sets,Command namespace
Best Practices,Advanced,Why should you never call write() inside a loop?,20.0,It causes syntax errors | It's very slow and inefficient use single write with all records | It's not allowed | It corrupts data,It's very slow and inefficient use single write with all records
Best Practices,Intermediate,How do you search for archived records in Odoo?,15.0,Use show_archived=True | Use active_test=False in context | Use include_archived=True | Use filter_archived=False,Use active_test=False in context
Best Practices,Advanced,How do you correctly compare float values in Odoo?,20.0,Use == operator | Use float_compare() or float_is_zero() from tools | Use round() then compare | Convert to string then compare,Use float_compare() or float_is_zero() from tools
Best Practices,Intermediate,How do you enable drag and drop reordering in tree view?,15.0,Add draggable=True | Add sequence field and widget='handle' in XML | Add sortable=True | Add reorder=True,Add sequence field and widget='handle' in XML
Best Practices,Advanced,How do you prevent SQL injection in Odoo?,20.0,Use string formatting | Use parameterized queries with %s and tuple | Escape quotes manually | Use string concatenation,Use parameterized queries with %s and tuple
Best Practices,Advanced,What is parent_path used for in Odoo?,20.0,To store file paths | To fetch entire tree branch in ONE query for hierarchy optimization | To organize folders | To validate paths,To fetch entire tree branch in ONE query for hierarchy optimization
Best Practices,Advanced,What does precompute=True do in Odoo 17+?,20.0,Pre-validates data | Computes field before SQL INSERT reducing queries | Caches results | Pre-loads modules,Computes field before SQL INSERT reducing queries
Best Practices,Intermediate,What is group_operator used for in fields?,15.0,To group users | To change aggregation operator in Pivot view like avg instead of sum | To create groups | To filter groups,To change aggregation operator in Pivot view like avg instead of sum
Best Practices,Advanced,How do you chain environment modifications in Odoo?,20.0,Use multiple lines | Use .with_user().with_company().with_context() in one line | Can't chain them | Use separate env objects,Use .with_user().with_company().with_context() in one line
Best Practices,Intermediate,What flag allows hot reload of XML without module upgrade?,15.0,--reload | --dev=xml | --debug=xml | --live=xml,--dev=xml
Best Practices,Intermediate,How do you check if a user belongs to a group?,15.0,Loop through groups | Use user.has_group('group_xml_id') | Use user.in_group() | Use user.check_group(),Use user.has_group('group_xml_id')
ORM Functional,Advanced,What does filtered() method do on RecordSets?,20.0,Deletes records | Returns new RecordSet with records matching lambda condition | Modifies records | Counts records,Returns new RecordSet with records matching lambda condition
ORM Functional,Advanced,What does sorted() method do on RecordSets?,20.0,Validates order | Returns new RecordSet sorted by specified field or lambda | Changes database order | Indexes records,Returns new RecordSet sorted by specified field or lambda
ORM Functional,Intermediate,What does mapped() return when used on a field?,15.0,RecordSet | List of field values from all records | Dictionary | Single value,List of field values from all records
ORM Functional,Advanced,What does ensure_one() do?,20.0,Creates one record | Ensures RecordSet contains exactly one record or raises error | Deletes extra records | Returns first record,Ensures RecordSet contains exactly one record or raises error
ORM Functional,Intermediate,What does exists() method do?,15.0,Checks if file exists | Returns subset of RecordSet that exists in database | Creates records | Validates records,Returns subset of RecordSet that exists in database
Domain & Search,Intermediate,What does the domain [('field' '=' False)] match?,15.0,Only False values | False and empty values (NULL) | Only NULL | Nothing,False and empty values (NULL)
Domain & Search,Advanced,What is the difference between '=' and '=?' in domains?,20.0,No difference | =? returns all records if value is False while = filters normally | =? is deprecated | = is faster,=? returns all records if value is False while = filters normally
Domain & Search,Intermediate,How do you search with OR condition in domain?,15.0,Use |  | operator | Use ' | ' prefix before conditions | Use 'OR' keyword | Use + operator,Use '
Domain & Search,Advanced,How do you combine AND and OR in complex domains?,20.0,Can't combine them | Use '&' and ' | ' prefix operators with Polish notation | Use parentheses | Use 'AND' and 'OR' keywords,Use '&' and '
Domain & Search,Intermediate,What does the 'in' operator do in domains?,15.0,Checks substring | Checks if field value is in provided list | Checks range | Checks existence,Checks if field value is in provided list
Recordset Operations,Intermediate,What does the + operator do with RecordSets?,15.0,Adds values | Returns union of RecordSets | Concatenates strings | Sums records,Returns union of RecordSets
Recordset Operations,Intermediate,What does the - operator,,nan,
